item_id,user_id,action,vtime
i458,u39,cart,2014/9/30 23:12
i458,u39,cart,2014/9/30 23:12
i458,u39,click,2014/9/30 23:12
i458,u39,click,2014/9/30 23:11
i79,u2910,click,2014/9/30 22:54
i487,u2735,click,2014/9/30 22:43
i177,u39,click,2014/9/30 21:55
i177,u39,click,2014/9/30 21:55
i351,u2735,click,2014/9/30 21:52
i106,u3170,click,2014/9/30 21:49
i102,u2735,click,2014/9/30 21:45
i331,u2831,click,2014/9/30 21:19
i161,u2719,click,2014/9/30 21:01
i560,u3085,click,2014/9/30 20:45
i63,u3015,click,2014/9/30 20:44
i237,u2708,click,2014/9/30 20:41
i180,u2735,click,2014/9/30 20:40
i343,u2734,click,2014/9/30 20:18
i160,u2761,click,2014/9/30 20:12
i426,u2810,click,2014/9/30 20:09
i152,u2735,click,2014/9/30 20:06
i292,u2735,click,2014/9/30 19:58
i210,u2729,click,2014/9/30 19:56
i392,u2729,click,2014/9/30 19:22
i160,u2708,click,2014/9/30 19:14
i203,u3195,click,2014/9/30 18:49
i124,u3185,click,2014/9/30 17:43
i242,u2729,click,2014/9/30 17:42
i455,u2936,click,2014/9/30 17:42
i455,u2936,click,2014/9/30 17:41
i304,u2730,click,2014/9/30 17:11
i423,u3239,click,2014/9/30 17:09
i513,u2844,click,2014/9/30 17:04
i446,u2729,click,2014/9/30 16:56
i53,u2729,click,2014/9/30 16:52
i504,u2735,click,2014/9/30 16:51
i212,u2729,click,2014/9/30 16:50
i492,u2903,click,2014/9/30 16:43
i386,u42,click,2014/9/30 16:33
i538,u3343,click,2014/9/30 16:19
i166,u2936,click,2014/9/30 16:16
i446,u2724,click,2014/9/30 16:12
i13,u2936,click,2014/9/30 16:04
i379,u2729,click,2014/9/30 16:01
i166,u2936,cart,2014/9/30 15:58
i166,u2936,click,2014/9/30 15:57
i446,u2723,click,2014/9/30 15:52
i180,u3388,click,2014/9/30 15:51
i135,u39,cart,2014/9/30 15:49
i135,u39,click,2014/9/30 15:49
i135,u39,click,2014/9/30 15:49
i135,u39,click,2014/9/30 15:46
i476,u3012,click,2014/9/30 15:44
i249,u2832,click,2014/9/30 15:27
i105,u3336,click,2014/9/30 15:23
i161,u41,click,2014/9/30 15:19
i105,u3160,click,2014/9/30 15:14
i161,u2676,click,2014/9/30 15:13
i521,u3278,click,2014/9/30 15:05
i161,u2708,click,2014/9/30 15:00
i336,u2982,click,2014/9/30 14:44
i40,u2850,click,2014/9/30 14:39
i507,u3134,click,2014/9/30 14:25
i342,u3278,cart,2014/9/30 14:19
i342,u3278,click,2014/9/30 14:19
i178,u2740,click,2014/9/30 14:14
i335,u39,click,2014/9/30 14:13
i335,u39,click,2014/9/30 14:12
i42,u2735,click,2014/9/30 14:07
i79,u2903,click,2014/9/30 14:04
i192,u3282,click,2014/9/30 14:03
i237,u2770,click,2014/9/30 14:02
i192,u3282,click,2014/9/30 13:56
i421,u3282,click,2014/9/30 13:54
i83,u2791,click,2014/9/30 13:48
i378,u3012,click,2014/9/30 13:40
i135,u39,click,2014/9/30 13:33
i263,u2723,click,2014/9/30 13:04
i303,u3282,click,2014/9/30 12:57
i323,u3282,click,2014/9/30 12:57
i161,u2669,click,2014/9/30 12:53
i53,u2729,click,2014/9/30 12:52
i161,u3336,click,2014/9/30 12:50
i350,u3339,click,2014/9/30 12:46
i446,u2723,click,2014/9/30 12:45
i107,u2735,click,2014/9/30 12:35
i392,u2723,click,2014/9/30 12:34
i536,u2801,click,2014/9/30 12:21
i446,u2724,click,2014/9/30 12:14
i13,u2735,click,2014/9/30 12:09
i427,u2731,click,2014/9/30 11:59
i172,u2936,click,2014/9/30 11:39
i89,u3093,click,2014/9/30 11:21
i534,u3108,click,2014/9/30 11:20
i263,u2735,click,2014/9/30 11:19
i208,u3184,click,2014/9/30 11:12
i434,u3012,cart,2014/9/30 11:10
i434,u3012,click,2014/9/30 11:09
i37,u2996,click,2014/9/30 10:54
i53,u2724,click,2014/9/30 10:41
i358,u2896,click,2014/9/30 10:36
i401,u54,click,2014/9/30 10:34
i274,u3012,cart,2014/9/30 10:22
i274,u3012,cart,2014/9/30 10:22
i274,u3012,click,2014/9/30 10:21
i233,u3012,click,2014/9/30 10:16
i233,u3012,cart,2014/9/30 10:16
i548,u2723,click,2014/9/30 10:09
i149,u2729,click,2014/9/30 10:08
i75,u39,click,2014/9/30 9:52
i75,u39,click,2014/9/30 9:51
i203,u2722,click,2014/9/30 9:49
i396,u39,click,2014/9/30 9:25
i396,u39,cart,2014/9/30 9:25
i396,u39,click,2014/9/30 9:24
i388,u2723,click,2014/9/30 9:23
i227,u2735,click,2014/9/30 9:22
i401,u2690,click,2014/9/30 9:15
i419,u2729,click,2014/9/30 9:14
i428,u2724,click,2014/9/30 9:05
i135,u2729,click,2014/9/30 9:03
i352,u2781,click,2014/9/30 9:01
i38,u3142,click,2014/9/30 8:59
i534,u2842,click,2014/9/30 8:47
i218,u24,click,2014/9/30 8:41
i226,u2734,click,2014/9/30 8:23
i487,u2781,click,2014/9/30 7:15
i161,u2643,click,2014/9/30 5:17
i341,u2781,click,2014/9/30 4:45
i535,u2740,click,2014/9/30 3:21
i233,u2735,click,2014/9/30 2:26
i560,u3254,click,2014/9/30 1:33
i316,u2768,click,2014/9/30 1:13
i411,u2729,click,2014/9/30 0:53
i161,u2645,click,2014/9/30 0:27
i160,u2762,click,2014/9/30 0:06
i257,u2925,click,2014/9/30 0:05
i392,u2723,click,2014/9/29 23:01
i266,u2723,click,2014/9/29 22:43
i242,u2729,click,2014/9/29 22:39
i149,u2740,click,2014/9/29 22:30
i106,u2735,click,2014/9/29 22:24
i152,u3196,click,2014/9/29 22:21
i406,u2745,click,2014/9/29 22:12
i406,u2735,click,2014/9/29 21:53
i105,u3159,click,2014/9/29 21:52
i546,u2735,click,2014/9/29 21:47
i375,u2724,click,2014/9/29 21:17
i44,u3012,click,2014/9/29 21:17
i60,u2723,click,2014/9/29 21:15
i303,u3182,click,2014/9/29 21:05
i428,u39,cart,2014/9/29 20:50
i428,u39,click,2014/9/29 20:49
i428,u39,click,2014/9/29 20:49
i409,u2735,click,2014/9/29 20:48
i126,u39,click,2014/9/29 20:29
i126,u39,cart,2014/9/29 20:29
i126,u39,click,2014/9/29 20:29
i159,u2735,click,2014/9/29 20:26
i455,u2801,click,2014/9/29 20:18
i446,u2724,click,2014/9/29 19:59
i287,u2729,click,2014/9/29 19:39
i53,u2723,click,2014/9/29 19:36
i228,u2723,click,2014/9/29 19:29
i160,u2760,click,2014/9/29 19:13
i52,u2912,click,2014/9/29 18:47
i442,u2912,click,2014/9/29 18:46
i513,u3111,click,2014/9/29 18:40
i345,u2724,click,2014/9/29 17:38
i337,u39,click,2014/9/29 17:29
i275,u2881,click,2014/9/29 17:25
i337,u39,cart,2014/9/29 17:25
i337,u39,click,2014/9/29 17:24
i52,u2740,click,2014/9/29 17:17
i337,u39,click,2014/9/29 17:15
i13,u2729,click,2014/9/29 17:04
i172,u3012,click,2014/9/29 17:04
i161,u2631,click,2014/9/29 16:57
i392,u2729,click,2014/9/29 16:14
i53,u2723,click,2014/9/29 16:13
i507,u2740,click,2014/9/29 16:07
i289,u3278,click,2014/9/29 15:56
i208,u3181,click,2014/9/29 15:48
i135,u39,click,2014/9/29 15:45
i135,u39,cart,2014/9/29 15:44
i135,u39,click,2014/9/29 15:43
i135,u39,click,2014/9/29 15:43
i199,u3276,click,2014/9/29 15:42
i446,u2733,click,2014/9/29 15:27
i289,u3278,click,2014/9/29 15:24
i53,u2723,click,2014/9/29 15:19
i292,u2996,click,2014/9/29 15:04
i183,u3012,cart,2014/9/29 15:03
i183,u3012,click,2014/9/29 15:03
i297,u39,cart,2014/9/29 15:02
i297,u39,click,2014/9/29 15:02
i297,u39,click,2014/9/29 15:01
i208,u3183,click,2014/9/29 14:59
i524,u2850,click,2014/9/29 14:54
i161,u2710,click,2014/9/29 14:42
i337,u39,cart,2014/9/29 14:41
i337,u39,click,2014/9/29 14:40
i337,u39,click,2014/9/29 14:40
i160,u2781,click,2014/9/29 14:35
i492,u2962,click,2014/9/29 14:29
i185,u24,click,2014/9/29 14:16
i247,u3012,click,2014/9/29 14:15
i320,u39,click,2014/9/29 14:11
i320,u39,click,2014/9/29 14:11
i320,u39,cart,2014/9/29 14:11
i109,u2996,click,2014/9/29 13:45
i299,u3012,click,2014/9/29 13:45
i169,u39,cart,2014/9/29 13:44
i561,u2801,click,2014/9/29 13:43
i169,u39,click,2014/9/29 13:43
i169,u39,click,2014/9/29 13:43
i160,u2770,click,2014/9/29 13:28
i172,u2936,alipay,2014/9/29 13:17
i331,u2813,click,2014/9/29 13:12
i521,u3278,cart,2014/9/29 13:08
i521,u3278,click,2014/9/29 13:08
i428,u3247,click,2014/9/29 13:02
i484,u3290,click,2014/9/29 12:52
i210,u2810,click,2014/9/29 12:39
i376,u2999,click,2014/9/29 12:39
i219,u3278,cart,2014/9/29 12:39
i219,u3278,click,2014/9/29 12:39
i517,u2729,click,2014/9/29 12:37
i59,u3012,cart,2014/9/29 12:35
i59,u3012,click,2014/9/29 12:35
i172,u2936,click,2014/9/29 12:34
i172,u2936,click,2014/9/29 12:33
i172,u2936,click,2014/9/29 12:30
i73,u2735,click,2014/9/29 12:25
i419,u2724,click,2014/9/29 12:09
i331,u2828,click,2014/9/29 12:03
i545,u3012,click,2014/9/29 12:03
i545,u3012,cart,2014/9/29 12:03
i237,u2849,click,2014/9/29 12:02
i147,u3024,click,2014/9/29 11:57
i246,u3392,click,2014/9/29 11:47
i244,u3370,click,2014/9/29 11:47
i172,u2723,click,2014/9/29 11:34
i266,u2723,click,2014/9/29 11:27
i160,u2764,click,2014/9/29 11:23
i266,u2724,click,2014/9/29 11:20
i53,u39,cart,2014/9/29 11:17
i53,u39,click,2014/9/29 11:16
i53,u39,click,2014/9/29 11:15
i519,u2786,click,2014/9/29 11:14
i172,u2936,click,2014/9/29 11:03
i172,u2936,click,2014/9/29 11:02
i172,u2936,click,2014/9/29 11:01
i172,u2936,click,2014/9/29 11:00
i121,u2690,click,2014/9/29 10:59
i515,u2723,click,2014/9/29 10:56
i534,u2962,click,2014/9/29 10:50
i83,u2781,click,2014/9/29 10:42
i2,u2925,click,2014/9/29 10:39
i83,u2781,click,2014/9/29 10:25
i499,u3278,cart,2014/9/29 10:16
i499,u3278,click,2014/9/29 10:16
i129,u2735,click,2014/9/29 10:12
i183,u39,click,2014/9/29 10:12
i342,u3278,click,2014/9/29 10:06
i342,u3278,click,2014/9/29 10:05
i262,u2731,click,2014/9/29 10:01
i190,u39,click,2014/9/29 9:52
i190,u39,click,2014/9/29 9:52
i190,u39,click,2014/9/29 9:51
i314,u3176,click,2014/9/29 9:41
i391,u2731,click,2014/9/29 9:40
i314,u2991,click,2014/9/29 9:36
i124,u3085,click,2014/9/29 9:24
i84,u2955,click,2014/9/29 9:24
i79,u2731,click,2014/9/29 9:14
i446,u2724,click,2014/9/29 9:10
i258,u2912,click,2014/9/29 8:55
i314,u2982,click,2014/9/29 8:54
i64,u24,click,2014/9/29 8:45
i192,u3004,click,2014/9/29 8:40
i208,u3180,click,2014/9/29 8:12
i276,u3004,click,2014/9/29 8:12
i161,u2665,click,2014/9/29 7:30
i106,u3168,click,2014/9/29 7:01
i65,u3406,click,2014/9/29 5:32
i161,u2671,click,2014/9/29 3:47
i161,u2706,click,2014/9/29 2:33
i115,u3010,click,2014/9/29 1:54
i247,u2850,click,2014/9/29 1:29
i67,u2735,click,2014/9/29 0:54
i161,u2679,click,2014/9/29 0:25
